61139CED-D2EC-43A5-B2FE-9A4502928945,1
977A4AE6-8EF9-452E-9217-96EA53A91ACB,1
5EA11F0F-EF25-4C19-BC18-879CC65CDF1D,3
BB77F6E2-827A-47F5-9F7F-2B264890DD6A,1
94D05379-F6F4-46C1-A18F-067F1F979456,3
B9B5BA97-B42E-4D47-95EF-A26D2304F681,5
16BB4B44-0F01-4265-9AC3-2ED1865FFDFD,1
E9416525-4162-463A-9D66-D6360BE3C8B5,2
BA9889CD-A721-4096-AAE9-04A92BD2C2B7,2
3313766D-8F30-4150-A8E4-091A3428CE7F,5
4DDB4E03-CAE0-4674-9D6A-80D31067A672,1
A6EAA678-DB81-4712-A1BB-9C76E154502B,3
4FA94DDE-E89F-4872-A428-3884FCD32154,4
E8765FD6-A657-4F0F-AD44-CF1415198160,3
EB6F79D8-EB73-4022-B545-96B93DFA2010,4
C0CBD7DD-2D6B-4919-9EF5-1E24A086D7CC,4
5568C0BC-B106-4BEE-9B51-084669F767B5,2
43A465E3-F8CC-4196-8CD5-95C173F3A627,5
2C197905-C923-45E8-BE7F-874E24769D58,5
70F526B5-DD6A-4E78-BF31-F2BE3F1722D2,2
